passengerid,survived,pclass,sex,age,sibsp
1,0,3,male,22.0,1
2,1,1,female,38.0,1
3,1,3,female,26.0,0
4,1,1,female,35.0,1
5,0,3,male,35.0,0
6,0,3,male,,0
7,0,1,male,54.0,0
8,0,3,male,2.0,3
9,1,3,female,27.0,0
10,1,2,female,14.0,1
11,1,3,female,4.0,1
12,1,1,female,58.0,0
13,0,3,male,20.0,0
14,0,3,male,39.0,1
15,0,3,female,14.0,0
16,1,2,female,55.0,0
17,0,3,male,2.0,4
18,1,2,male,,0
19,0,3,female,31.0,1
20,1,3,female,,0
21,0,2,male,35.0,0
22,1,2,male,34.0,0
23,1,3,female,15.0,0
24,1,1,male,28.0,0
25,0,3,female,8.0,3
26,1,3,female,38.0,1
27,0,3,male,,0
28,0,1,male,19.0,3
29,1,3,female,,0
30,0,3,male,,0
31,0,1,male,40.0,0
32,1,1,female,,1
33,1,3,female,,0
34,0,2,male,66.0,0
35,0,1,male,28.0,1
36,0,1,male,42.0,1
37,1,3,male,,0
38,0,3,male,21.0,0
39,0,3,female,18.0,2
40,1,3,female,14.0,1
41,0,3,female,40.0,1
42,0,2,female,27.0,1
43,0,3,male,,0
44,1,2,female,3.0,1
45,1,3,female,19.0,0
46,0,3,male,,0
47,0,3,male,,1
48,1,3,female,,0
49,0,3,male,,2
50,0,3,female,18.0,1
51,0,3,male,7.0,4
52,0,3,male,21.0,0
53,1,1,female,49.0,1
54,1,2,female,29.0,1
55,0,1,male,65.0,0
56,1,1,male,,0
57,1,2,female,21.0,0
58,0,3,male,28.5,0
59,1,2,female,5.0,1
60,0,3,male,11.0,5
61,0,3,male,22.0,0
62,1,1,female,38.0,0
63,0,1,male,45.0,1
64,0,3,male,4.0,3
65,0,1,male,,0
66,1,3,male,,1
67,1,2,female,29.0,0
68,0,3,male,19.0,0
69,1,3,female,17.0,4
70,0,3,male,26.0,2
71,0,2,male,32.0,0
72,0,3,female,16.0,5
73,0,2,male,21.0,0
74,0,3,male,26.0,1
75,1,3,male,32.0,0
76,0,3,male,25.0,0
77,0,3,male,,0
78,0,3,male,,0
79,1,2,male,0.83,0
80,1,3,female,30.0,0
81,0,3,male,22.0,0
82,1,3,male,29.0,0
83,1,3,female,,0
84,0,1,male,28.0,0
85,1,2,female,17.0,0
86,1,3,female,33.0,3
87,0,3,male,16.0,1
88,0,3,male,,0
89,1,1,female,23.0,3
90,0,3,male,24.0,0
91,0,3,male,29.0,0
92,0,3,male,20.0,0
93,0,1,male,46.0,1
94,0,3,male,26.0,1
95,0,3,male,59.0,0
96,0,3,male,,0
97,0,1,male,71.0,0
98,1,1,male,23.0,0
99,1,2,female,34.0,0
100,0,2,male,34.0,1
101,0,3,female,28.0,0
102,0,3,male,,0
103,0,1,male,21.0,0
104,0,3,male,33.0,0
105,0,3,male,37.0,2
106,0,3,male,28.0,0
107,1,3,female,21.0,0
108,1,3,male,,0
109,0,3,male,38.0,0
110,1,3,female,,1
111,0,1,male,47.0,0
112,0,3,female,14.5,1
113,0,3,male,22.0,0
114,0,3,female,20.0,1
115,0,3,female,17.0,0
116,0,3,male,21.0,0
